Neighbourhood,Neighbourhood Postal Code,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Postal Code,Venue formattedAddress,Venue Category,Venue Postal Code Prefix
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,H2otel,51.9173925337387,4.487061131594537,32,3011 WR,"['Wijnhaven 20a', '3011 WR Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,ibis Rotterdam City Centre,51.91734678762638,4.488300942895886,105,3011 WP,"['Wijnhaven 12', '3011 WP Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,citizenM,51.91925901197693,4.490480849856352,306,3011 WZ,"['Gelderseplein 50', '3011 WZ Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,935,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,The James,51.92107428957907,4.477825682849285,727,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,1062,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,nhow,51.90710686467184,4.488491585172602,1179,3072 AP,"['Wilhelminapier 137', '3072 AP Rotterdam', 'Nederland']",Hotel,3072
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Mainport Hotel,51.913362,4.482475,564,3011 EA,"['Leuvehaven 77', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Grand Hotel Central,51.92305111571185,4.476566478788637,926,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Inntel Hotels Rotterdam Centre,51.912675096990135,4.482800355680386,620,3011 EA,"['Leuvehaven 80', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Annabel,51.92540257556953,4.475941780747949,1142,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
