Neighbourhood,Neighbourhood Postal Code,Latitude,Longitude
Stadsdriehoek/Rotterdam Centrum,3011,51.917658200000005,4.4868516
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005
Oude Westen,3014,51.91977199999999,4.4660891
Dijkzigt,3015,51.9117502,4.4680441
Scheepvaartkwartier/Nieuwe Werk,3016,51.906239500000005,4.4736471999999985
Middelland,3021,51.9173832,4.459213500000001
Middelland,3022,51.9205044,4.446733
Nieuwe Westen,3023,51.9123609,4.451917400000001
Coolhaveneiland,3024,51.906817499999995,4.4578098
Bospolder,3025,51.9080879,4.4423119999999985
Tussendijken,3026,51.91272619999999,4.442243299999999
Spangen,3027,51.9182359,4.4366362
Oud-Mathenesse,3028,51.9160876,4.423318599999999
Schiemond/Nieuw-Mathenesse,3029,51.9040218,4.4420335
Rubroek,3031,51.9268133,4.4899558
Agniesebuurt,3032,51.9271821,4.4802710999999995
Provenierswijk,3033,51.92755,4.4705878
Crooswijk,3034,51.9332125,4.495864900000001
Oude Noorden,3035,51.93244929999999,4.481121400000001
Oude Noorden,3036,51.937717,4.4819719000000005
Liskwartier,3037,51.9380852,4.4722849999999985
Bergpolder,3038,51.9356962,4.465403999999999
Blijdorp,3039,51.9294172,4.4562769
Diergaarde Blijdorp/Kleinpolder,3041,51.928648700000004,4.441546199999999
Diergaarde Blijdorp/Kleinpolder,3042,51.9342811,4.4327096
Overschie,3043,51.942547600000005,4.4242908
Spaanse Polder,3044,51.9308754,4.4175639
Rotterdam Airport,3045,51.953491299999996,4.4503965
Zestienhoven,3045,51.953491299999996,4.4503965
Schieveen,3046,51.9650044,4.426248000000001
Bedrijventerrein Rotterdam Noord-West,3047,51.9424362,4.405583
Kleiwegkwartier,3051,51.945865000000005,4.4767883
Schiebroek,3052,51.951379100000004,4.4711777999999995
Schiebroek,3053,51.96580909999999,4.475129099999999
Hillegersberg Centrum,3054,51.957440999999996,4.4894995999999985
Molenlaankwartier,3055,51.9593073,4.506599599999999
Terbregge,3056,51.94977739999999,4.5131822
Nesselande,3059,51.98291079999999,4.5821068999999985
Kralingen,3061,51.9261967,4.506100000000001
Kralingen,3062,51.926232299999995,4.5193921999999995
De Esch,3063,51.9109104,4.524732
Kralingseveer,3064,51.910604299999996,4.5498655
's-Gravenland,3065,51.9257119,4.553155500000001
Prinsenland,3066,51.93624519999999,4.5548838
Het Lage Land/Oosterflank,3067,51.947030100000006,4.5501455
Ommoord/Zevenkamp,3068,51.9578166,4.545404
Ommoord/Zevenkamp,3069,51.9635842,4.5333275
Feijenoord/Noordereiland/Kop van Zuid,3071,51.911653,4.5053635000000005
Afrikaanderwijk/Katendrecht,3072,51.9018612,4.4842992
Bloemhof/Strevelswijk,3073,51.8919713,4.5005481
Hillesluis,3074,51.8941095,4.5138783
Vreewijk,3075,51.8850831,4.5075435
Lombardijen,3076,51.873814900000006,4.525179899999999
Oud-IJsselmonde/Stadion,3077,51.8993857,4.5488395000000015
Beverwaard,3078,51.888858,4.547115
Groot-IJsselmonde,3079,51.8783319,4.5453915
Tarwewijk/Maashaven,3081,51.89341959999999,4.4852197
Oud-Charlois,3082,51.887935,4.4674559999999985
Carnisse/Zuidplein,3083,51.8871996,4.4867975
Zuiderpark/Wielewaal/Charlois,3084,51.880804100000006,4.4808997
Zuidwijk,3085,51.87379540000001,4.491117299999999
Pendrecht,3086,51.8746537,4.4685611
Oud-Charlois/Waalhaven-Noord,3087,51.8957591,4.4565496
Waalhaven,3088,51.8717422,4.4405503
Heijplaat,3089,51.8907725,4.4273885
